iter	Passed	Remaining
404	7228	10619
405	7245	10600
406	7262	10580
407	7279	10562
408	7302	10551
409	7322	10537
410	7341	10521
411	7362	10507
412	7380	10490
413	7399	10473
414	7418	10457
415	7439	10444
416	7458	10427
417	7474	10407
418	7494	10392
419	7509	10370
420	7522	10346
421	7535	10321
422	7550	10299
423	7568	10282
424	7586	10263
425	7602	10244
426	7625	10232
427	7645	10217
428	7666	10204
429	7682	10184
430	7703	10170
431	7722	10153
432	7742	10139
433	7764	10126
434	7787	10115
435	7807	10099
436	7826	10083
437	7846	10067
438	7865	10051
439	7885	10036
440	7904	10019
441	7929	10010
442	7951	9997
443	7974	9985
444	7998	9975
445	8023	9966
446	8042	9950
447	8068	9940
448	8091	9930
449	8111	9913
450	8133	9900
451	8156	9889
452	8184	9882
453	8207	9870
454	8231	9860
455	8250	9842
456	8277	9834
457	8303	9825
458	8326	9814
459	8347	9798
460	8368	9784
461	8388	9768
462	8409	9753
463	8432	9740
464	8452	9725
465	8473	9710
466	8492	9692
467	8517	9682
468	8541	9670
469	8561	9654
470	8578	9634
471	8595	9615
472	8622	9606
473	8645	9594
474	8668	9580
475	8687	9563
476	8706	9546
477	8737	9541
478	8760	9529
479	8784	9517
480	8803	9498
481	8821	9480
482	8844	9467
483	8864	9450
484	8883	9433
485	8904	9417
486	8921	9398
487	8937	9376
488	8961	9364
489	8979	9346
490	8995	9325
491	9012	9305
492	9031	9287
493	9050	9269
494	9065	9248
495	9080	9227
496	9096	9206
497	9113	9186
498	9128	9164
499	9143	9143
500	9159	9122
501	9179	9106
502	9198	9088
503	9214	9068
504	9232	9050
505	9256	9036
506	9273	9017
507	9292	9000
508	9313	8984
509	9336	8970
510	9353	8950
511	9373	8934
512	9392	8916
513	9409	8896
514	9426	8877
515	9442	8857
516	9459	8837
517	9472	8814
518	9488	8793
519	9502	8771
520	9517	8750
521	9532	8728
522	9544	8705
523	9559	8683
524	9574	8662
525	9592	8644
526	9614	8628
527	9632	8610
528	9652	8594
529	9672	8577
530	9695	8563
531	9715	8546
532	9736	8530
533	9754	8512
534	9771	8492
535	9788	8473
536	9805	8454
537	9821	8434
538	9834	8411
539	9848	8389
540	9862	8367
541	9875	8345
542	9887	8321
543	9903	8301
544	9918	8280
545	9934	8260
546	9951	8241
547	9970	8224
548	9994	8210
549	10018	8196
550	10039	8181
551	10060	8165
552	10083	8150
553	10100	8131
554	10124	8117
555	10148	8103
556	10173	8091
557	10199	8079
558	10227	8068
559	10247	8051
560	10265	8033
561	10286	8016
562	10306	8000
563	10326	7983
564	10346	7966
565	10364	7947
566	10389	7933
567	10410	7917
568	10436	7905
569	10459	7890
570	10480	7873
571	10499	7855
572	10519	7839
573	10540	7822
574	10561	7806
575	10581	7788
576	10594	7766
577	10611	7747
578	10626	7726
579	10646	7709
580	10665	7691
581	10681	7671
582	10697	7651
583	10719	7635
584	10737	7616
585	10756	7598
586	10773	7579
587	10791	7561
588	10808	7541
589	10830	7526
590	10849	7508
591	10870	7491
592	10888	7472
593	10906	7454
594	10927	7438
595	10946	7420
596	10966	7402
597	10986	7385
598	11004	7367
599	11021	7347
600	11041	7330
601	11060	7312
602	11080	7295
603	11100	7278
604	11120	7260
605	11139	7242
606	11157	7224
607	11176	7205
608	11195	7188
609	11216	7171
610	11241	7156
611	11264	7141
612	11293	7129
613	11314	7112
614	11355	7108
615	11386	7098
616	11409	7082
617	11434	7067
618	11458	7053
619	11484	7038
620	11508	7023
621	11526	7004
622	11549	6988
623	11570	6971
624	11590	6954
625	11610	6936
626	11627	6917
627	11649	6900
628	11666	6881
629	11688	6864
630	11707	6846
631	11729	6829
632	11748	6811
633	11772	6796
634	11796	6780
635	11821	6765
636	11839	6746
637	11856	6727
638	11873	6707
639	11890	6688
640	11909	6670
641	11925	6649
642	11946	6632
643	11964	6614
644	11986	6596
645	12003	6577
646	12020	6558
647	12042	6541
648	12059	6521
649	12079	6504
650	12099	6486
651	12127	6472
652	12148	6455
653	12165	6436
654	12190	6420
655	12214	6405
656	12234	6387
657	12256	6370
658	12281	6355
659	12303	6338
660	12330	6323
661	12356	6308
662	12381	6293
663	12402	6275
664	12424	6258
665	12447	6242
666	12473	6227
667	12498	6211
668	12524	6196
669	12549	6180
670	12570	6163
671	12589	6144
672	12608	6126
673	12626	6107
674	12646	6089
675	12668	6071
676	12703	6061
677	12735	6048
678	12776	6040
679	12806	6026
680	12830	6009
681	12846	5989
682	12865	5971
683	12889	5954
684	12915	5939
685	12940	5923
686	12971	5909
687	12999	5895
688	13022	5877
689	13043	5860
690	13064	5842
691	13080	5821
692	13103	5804
693	13126	5787
694	13145	5768
695	13169	5752
696	13204	5740
697	13247	5731
698	13283	5720
699	13305	5702
700	13332	5686
701	13358	5670
702	13382	5653
703	13405	5636
704	13446	5626
705	13484	5615
706	13527	5606
707	13575	5599
708	13615	5588
709	13646	5573
710	13685	5562
711	13732	5554
712	13757	5537
713	13780	5520
714	13795	5498
715	13807	5476
716	13818	5454
717	13827	5431
718	13838	5408
719	13856	5388
720	13890	5375
721	13929	5363
722	13952	5345
723	13972	5326
724	13986	5305
725	14011	5287
726	14030	5268
727	14052	5250
728	14079	5234
729	14098	5214
730	14114	5193
731	14132	5174
732	14153	5155
733	14164	5133
734	14178	5112
735	14195	5091
736	14210	5071
737	14230	5052
738	14246	5031
739	14262	5011
740	14278	4990
741	14294	4970
742	14311	4950
743	14342	4935
744	14385	4923
745	14423	4911
746	14457	4896
747	14483	4879
748	14513	4863
749	14533	4844
750	14553	4825
751	14571	4805
752	14597	4788
753	14625	4771
754	14653	4755
755	14675	4736
756	14696	4717
757	14724	4700
758	14743	4681
759	14767	4663
760	14791	4645
761	14817	4627
762	14837	4608
763	14858	4589
764	14876	4569
765	14893	4549
766	14910	4529
767	14927	4509
768	14947	4490
769	14965	4470
770	14986	4451
771	15001	4430
772	15019	4410
773	15036	4390
774	15054	4370
775	15076	4352
776	15096	4332
777	15117	4313
778	15136	4294
779	15153	4273
780	15169	4253
781	15185	4233
782	15202	4213
783	15220	4193
784	15236	4173
785	15264	4155
786	15289	4138
787	15314	4120
788	15340	4102
789	15364	4084
790	15384	4065
791	15410	4047
792	15431	4028
793	15454	4009
794	15481	3991
795	15507	3974
796	15528	3955
797	15550	3936
798	15573	3917
799	15594	3898
800	15616	3879
801	15637	3860
802	15657	3841
803	15677	3821
804	15696	3802
805	15718	3783
806	15738	3763
807	15758	3744
808	15781	3725
809	15803	3706
810	15821	3687
811	15838	3667
812	15855	3647
813	15873	3627
814	15896	3608
815	15912	3588
816	15934	3569
817	15951	3549
818	15969	3529
819	15986	3509
820	16001	3488
821	16018	3468
822	16037	3449
823	16054	3429
824	16072	3409
825	16089	3389
826	16109	3370
827	16128	3350
828	16151	3331
829	16169	3311
830	16186	3291
831	16203	3271
832	16219	3251
833	16238	3232
834	16258	3212
835	16283	3194
836	16306	3175
837	16330	3156
838	16349	3137
