iter	Logloss
0	0.6585799329
1	0.6304690469
2	0.607350627
3	0.5919310191
4	0.5795665519
5	0.5653587924
6	0.5548035543
7	0.5456200576
8	0.5388648842
9	0.5329576512
10	0.5273455945
11	0.5220226298
12	0.517769427
13	0.5153237295
14	0.5077885671
15	0.5022737877
16	0.4991222358
17	0.4968249865
18	0.4950222651
19	0.4934271675
20	0.4917629737
21	0.4899673632
22	0.4870979141
23	0.4853433298
24	0.4835775411
25	0.4824021586
26	0.4813858545
27	0.4804258754
28	0.4792844237
29	0.4770007018
30	0.4750968781
31	0.4743280638
32	0.4728885794
33	0.4719895797
34	0.4709803011
35	0.4700431154
36	0.4693256722
37	0.4680343813
38	0.4671563431
39	0.4666127017
40	0.4662099991
41	0.4657849093
42	0.4652457144
43	0.4646991907
44	0.4641232407
45	0.4632983329
46	0.4627917545
47	0.4625492131
48	0.4622299141
49	0.4618624672
50	0.461483877
51	0.4608737082
52	0.4604832768
53	0.4601396867
54	0.4596917644
55	0.4593100887
56	0.4588258383
57	0.4583829583
58	0.4578872595
59	0.4576114478
60	0.4573317445
61	0.4569258049
62	0.4565250709
63	0.4562188363
64	0.455997946
65	0.4557859701
66	0.4554834207
67	0.455082861
68	0.454910562
69	0.4545833256
70	0.4544558845
71	0.4541979453
72	0.4539807204
73	0.4537415881
74	0.4535543879
75	0.4532866628
76	0.4532858042
77	0.4530915375
78	0.4527931336
79	0.4527761999
80	0.4526084723
81	0.4523313585
82	0.4520034212
83	0.4518884
84	0.4517517201
85	0.4516696247
86	0.4514809374
87	0.4512829282
88	0.4511492832
89	0.4510201973
90	0.4508621152
91	0.450718488
92	0.4504659989
93	0.4503807719
94	0.4500989089
95	0.4499462716
96	0.449753219
97	0.4496602038
98	0.4494958984
99	0.449379675
100	0.4491777542
101	0.4490813863
102	0.4486678763
103	0.4484593384
104	0.4483606859
105	0.4482198164
106	0.4480681737
107	0.4478039638
108	0.4476655364
109	0.4475917689
110	0.4475164167
111	0.4474416113
112	0.4473468415
113	0.4471987025
114	0.4471394562
115	0.4469869035
116	0.446851442
117	0.4467103339
118	0.4466249268
119	0.4465573684
120	0.4464754058
121	0.4463072546
122	0.4463069676
123	0.4461814506
124	0.4460923599
125	0.4459392295
126	0.445812514
127	0.4457210733
128	0.4455990632
129	0.4454924959
130	0.4453920575
131	0.4453140848
132	0.4451777689
133	0.4451159856
134	0.4450462771
135	0.4450446126
136	0.4450145031
137	0.4449640336
138	0.4448964566
139	0.4445613532
140	0.4444682946
141	0.4443809044
142	0.4442962322
143	0.4442511028
144	0.4442039135
145	0.4441607574
146	0.4440853005
147	0.4440836544
148	0.4439943611
149	0.4439557928
150	0.4438809249
151	0.4438587895
152	0.4437736223
153	0.4436612274
154	0.4435887533
155	0.443332064
156	0.443260119
157	0.4431668257
158	0.4430374985
159	0.4429636999
160	0.4426944774
161	0.4425688419
162	0.4424584631
163	0.4423746629
164	0.4422922567
165	0.4422207985
166	0.4422199374
167	0.4421427852
168	0.4421366407
169	0.4420069875
170	0.4419641842
171	0.4419304389
172	0.44168978
173	0.4416295623
174	0.4415522619
175	0.4414487809
176	0.441444306
177	0.4413918644
178	0.4413538063
179	0.4412850723
180	0.4412217781
181	0.4411380478
182	0.4411124036
183	0.4410500734
184	0.4410293388
185	0.4410246324
186	0.4409648151
187	0.4409121666
188	0.440867986
189	0.4408255233
190	0.4407726215
191	0.4406754277
192	0.4406331777
193	0.4406043717
194	0.4405592156
195	0.4405594534
196	0.440484073
197	0.4404325482
198	0.4404087411
199	0.4403693126
200	0.440307897
201	0.4402138647
202	0.4401778961
203	0.4401057287
204	0.4400915461
205	0.4400583749
206	0.439955232
207	0.4398943824
208	0.4398458287
209	0.4398153691
210	0.4397988075
211	0.4397757964
212	0.4397528933
213	0.4397361609
214	0.4396811102
215	0.4396472997
216	0.4396284859
217	0.4395975139
218	0.4395827285
219	0.4395598358
220	0.4395106658
221	0.4394818827
222	0.4394574543
223	0.4393807458
224	0.4393394189
225	0.4392616345
226	0.439226777
227	0.439196824
228	0.4391097628
229	0.4390050347
230	0.4389332603
231	0.4388644411
232	0.4388327774
233	0.4388114911
234	0.4387750194
235	0.4387432493
236	0.438685257
237	0.4386523542
238	0.4385915215
239	0.4384429922
240	0.4383638398
241	0.4382800822
242	0.4382466256
243	0.4382187548
244	0.438200724
245	0.4381756399
246	0.4381440896
247	0.4381184253
248	0.4380907664
249	0.4380649388
250	0.4380205978
251	0.4379841662
252	0.4379205288
253	0.4379047714
254	0.437885194
255	0.4378590969
256	0.4378319891
257	0.4377616989
258	0.4377310817
259	0.4376595425
260	0.4376427078
261	0.4375935758
262	0.4375761786
263	0.4375394698
264	0.4375039554
265	0.4374927744
266	0.4374797019
267	0.4374642
268	0.4374471588
269	0.4374237324
270	0.437385459
271	0.4373647728
272	0.4373486853
273	0.4373169932
274	0.4372651505
275	0.4372363959
276	0.4372137649
277	0.4371949406
278	0.4371790852
279	0.4371441367
280	0.4370173896
281	0.4369542011
282	0.4369310662
283	0.4368992925
284	0.4368759239
285	0.4368559111
286	0.4368265296
287	0.4367996003
288	0.4367867442
289	0.4367260661
290	0.4366822076
291	0.4366541926
292	0.436632925
293	0.4366001463
294	0.4365733571
295	0.4365615814
296	0.436543291
297	0.4365224521
298	0.4364405982
299	0.4364148838
300	0.4363924526
301	0.4363645739
302	0.4363271577
303	0.4363065488
304	0.4362967309
305	0.4362629552
306	0.4362135264
307	0.436199078
308	0.4361771459
309	0.436151004
310	0.4361392371
311	0.4361072937
312	0.4360525722
313	0.436004285
314	0.4359830459
315	0.4359635366
316	0.4359518382
317	0.43593227
318	0.4359021844
319	0.4358755286
320	0.4358611951
321	0.4358311048
322	0.4358170461
323	0.435789533
324	0.4357697773
325	0.4357477486
326	0.4357300911
